StockCode,GCode,Vendor,PartNo,Description,RRP,ETA,Block1_Price,Block2_Price,Block3_Price,ProductGroup,Stock,EAN,UPC,APN
6H9B5AA(STINGER2CORE4PSB),87456,HP,6H9B6AA,HYPERX CLOUD STINGER 2 CORE GAMING HEADSET FOR PLAYSTATION (BLACK),79.00,,64.13,64.13,64.13,Headset And Microphone,2,,196786000416,
6H9B5AA(STINGER2CORE4PSW),87455,HP,6H9B5AA,HYPERX CLOUD STINGER 2 CORE GAMING HEADSET FOR PLAYSTATION (WHITE),79.00,28/11/2025,64.13,64.13,64.13,Headset And Microphone,0,,196786000362,
6H9B8AA(STINGER2CORE4XBXB),87458,HP,6H9B8AA,HYPERX CLOUDX STINGER 2 CORE GAMING HEADSET FOR XBOX (BLACK),79.00,,64.30,64.30,64.30,Headset And Microphone,8,,196786000485,
6N0A7AA(PULHASTE2),88398,HP,6N0A7AA,HYPERX PULSEFIRE HASTE 2 GAMING MOUSE BLACK,109.00,,88.80,88.80,88.80,Mouse,16,,196786272523,
6N0A7AA(PULHASTE2WH),88399,HP,6N0A8AA,HYPERX PULSEFIRE HASTE 2 GAMING MOUSE WHITE,109.00,,88.80,88.80,88.80,Mouse,5,,196786272530,
6N0A9AA(HASTE2WIRELESSWH),88402,HP,6N0A9AA,HYPERX PULSEFIRE HASTE 2 WIRELESS GAMING MOUSE WHITE,159.00,,137.00,137.00,137.00,Mouse,6,,196786272547,
6N0B0AA(HASTE2WIRELESS),88401,HP,6N0B0AA,HYPERX PULSEFIRE HASTE 2 WIRELESS GAMING MOUSE BLACK,159.00,19/12/2025,137.00,137.00,137.00,Mouse,0,,196786272554,
705L8AA(EARBUDS2RED),89033,HP,705L8AA,HYPERX CLOUD EATBUDS II RED GAMING EARBUDS with MIC,69.00,,55.49,55.49,55.49,Headset And Microphone,29,,196786890161,
70N24AA(EARBUDBLK),88955,HP,70N24AA,HYPERX CLOUD EARBUDS II BLACK GAMING EARBUDS with MIC,69.00,,61.00,61.00,61.00,Headset And Microphone,15,,196786923265,
727A5AA(TRWIRELESSBK),88951,HP,727A5AA,HYPERX CIRRO BUDS PRO TRUE WIRELESS BLACK EARBUDS,169.00,,136.89,136.89,136.89,Headset And Microphone,11,,197029008190,
727A6AA(TRWIRELESSBLU),88952,HP,727A6AA,HYPERX CIRRO BUDS PRO TRUE WIRELESS BLUE EARBUDS,169.00,,136.89,136.89,136.89,Headset And Microphone,16,,197029008206,
727A7AA(TRWIRELESSTA),88953,HP,727A7AA,HYPERX CIRRO BUDS PRO TRUE WIRELESS TAN EARBUDS,169.00,,136.89,136.89,136.89,Headset And Microphone,9,,197029008213,
727A8AA(CLOUD3BLK),88692,HP,727A8AA,HYPERX CLOUD III GAMING HEADSET BLACK,169.00,,136.89,136.89,136.89,Headset And Microphone,30,,197029008220,
727A9AA(CLOUD3RED),88693,HP,727A9AA,HYPERX CLOUD III GAMING HEADSET BLACK/RED,169.00,,136.89,136.89,136.89,Headset And Microphone,30,,197029008237,
75X28AA(STINGER2XBOX),89056,HP,75X28AA,HYPERX STINGER 2 GAMING HEADSET FOR XBOX,89.00,,72.76,72.76,72.76,Headset And Microphone,6,,197029365972,
75X29AA(STINGER2PS),89057,HP,75X29AA,HYPERX STINGER 2 GAMING HEADSET FOR PS,89.00,,72.76,72.76,72.76,Headset And Microphone,8,,197029365989,
75X30AA(VISIONS),89216,HP,75X30AA,HYPERX VISION S WEBCAM,469.00,,359.00,359.00,359.00,Monitor - Accessory,1,,197029365996,
77Z45AA(CLOUDIIIWIRELESSBK),89224,HP,77Z45AA,HYPERX CLOUD III WIRELESS GAMING HEADSET BLACK,289.00,,233.09,233.09,233.09,Headset And Microphone,30,,197029611727,
77Z46AA(CLOUDIIIWIRELESSRD),89225,HP,77Z46AA,HYPERX CLOUD III WIRELESS GAMING HEADSET RED,289.00,,233.09,233.09,233.09,Headset And Microphone,14,,197029611734,
780K7AA#ABG,DZ00110424,HP,780K7AA#ABG,HP OMEN32C 31.5'' 2560X1440 QHD 16:9 1MS 165HZ VA FREESYNC PREM HDR 2X HDMI DP CURVED GAMING MONITOR 3YRS WTY,699.99,,517.38,517.38,517.38,Monitor - Gaming,30,,197029618665,
7D388AA(HA2MIWIBK),DZ00110837,HP,7D388AA,HYPERX PULSEFIRE HASTE 2 MINI WIRELESS GAMING MOUSE BLACK,159.00,,138.26,138.26,138.26,Mouse,4,,197192120217,
7D389AA(HA2MIWIWH),DZ00110847,HP,7D389AA,HYPERX PULSEFIRE HASTE 2 MINI WIRELESS GAMING MOUSE WHITE,159.00,,138.26,138.26,138.26,Mouse,8,,197192120224,
7D6H2AA(CLUTCHRGB),DZ00110311,HP,7D6H2AA,HYPERX CLUTCH GLADIATE RGB GAMING CONTROLLER,84.00,28/11/2025,76.00,76.00,76.00,Mouse,0,,197192136829,
7G8F1AA(MINIWIRELESSBK),DZ00110854,HP,7G8F1AA,HYPERX CLOUD MINI WIRELESS HEADSET BLACK,89.00,,77.39,77.39,77.39,Headset And Microphone,30,,196786000485,
7G8F2AA(MINIWIRELESSWH),DZ00110855,HP,7G8F2AA,HYPERX CLOUD MINI WIRELESS HEADSET WHITE,89.00,,77.39,77.39,77.39,Headset And Microphone,19,,197192348000,
7G8F3AA(MINIWIREDMULTI),DZ00110851,HP,7G8F3AA,HYPERX CLOUD MINI WIRED HEADSET MULTI,51.00,,44.35,44.35,44.35,Headset And Microphone,5,,197192348017,
7G8F4AA(MINIWIREDBK),DZ00110852,HP,7G8F4AA,HYPERX CLOUD MINI WIRED HEADSET BLACK,51.00,,44.35,44.35,44.35,Headset And Microphone,21,,197192348024,
7G8F5AA(MINIWIREDLAV),DZ00110853,HP,7G8F5AA,HYPERX CLOUD MINI WIRED HEADSET LAVENDAR,51.00,,44.35,44.35,44.35,Headset And Microphone,13,,197192348031,
872V1AA(QDS2BK),DZ00111103,HP,872V1AA,HYPERX QUADCAST 2 USB GAMING MICROPHONE (BLACK),289.00,,259.00,259.00,259.00,Headset And Microphone,30,,197497651058,
8R2E6AA(HA2COWIBK),DZ00110849,HP,8R2E6AA,HYPERX PULSEFIRE HASTE 2 CORE WIRELESS GAMING MOUSE BLACK,99.00,,86.09,86.09,86.09,Mouse,30,,197498115382,
8R2E7AA((HA2COWIWH),DZ00110850,HP,8R2E7AA,HYPERX PULSEFIRE HASTE 2 CORE WIRELESS GAMING MOUSE WHITE,99.00,,86.09,86.09,86.09,Mouse,5,,197498115399,
91Y91AA(AR75WLKBD),DZ00112087,HP,91Y91AA,HYPERX ALLOY RISE 75 WIRELESS GAMING KEYBOARD,439.00,,375.00,375.00,375.00,Mouse,13,,197498745497,
9A273AA(QC2SBLK),DZ00112088,HP,9A273AA,HYPERX QUADCAST 2 S - USB MICROPHONE (BLACK),379.00,TBC,320.00,320.00,320.00,Headset And Microphone,0,,197961186741,
9B001AA(PH2SWLNAVY),DZ00112090,HP,9B001AA,HYPERX PULSEFIRE HASTE 2 S NAVY WIRELESS GAMING MOUSE,279.00,,236.00,236.00,236.00,Mouse,15,,197961217414,
9B002AA(PH2SWLSILVR),DZ00112091,HP,9B002AA,HYPERX PULSEFIRE HASTE 2 S SILVER WIRELESS GAMING MOUSE,279.00,,235.00,235.00,235.00,Mouse,19,,197961217421,
A1KY5AA(PH2PRO4K),DZ00112089,HP,A1KY5AA,HYPERX PULSEFIRE HASTE 2 PRO - 4K WIRELESS GAMING MOUSE,229.00,,193.00,193.00,193.00,Mouse,21,,198122802432,
A2PB2AA(PSPROWL),DZ00112092,HP,A2PB2AA,HYPERX PULSEFIRE SAGA PRO WIRELESS GAMING MOUSE (BLACK),199.00,,168.00,168.00,168.00,Mouse,16,,198415001658,
A2PB3AA(PSWIRED),DZ00112093,HP,A2PB3AA,HYPERX PULSEFIRE SAGA WIRED GAMING MOUSE (BLACK),129.00,,109.00,109.00,109.00,Mouse,30,,198415001641,
A7500-100PAS,DZ00110515,Netgear,A7500-100PAS,NETGEAR  A7500-100PAS NIGHTHAWK AC1800 USB WIRELESS ADAPTER - USB 3.0,109.00,,78.29,78.29,78.29,Network Device,30,606449170139,606449170139,
A8000-100PAS,87307,Netgear,A8000-100PAS,NETGEAR NIGHTHAWK AXE3000 USB WIRELESS ADAPTER - USB 3.0,169.95,,133.00,133.00,133.00,Network Device,30,606449160987,606449160987,
AC65-00(A23-065N1A),DZ00112934,Asus,90XB04EN-MPW1L0,ASUS AC65-00(A23-065N1A)/AU//TYPE C/3PIN/V4/6PCS,95.00,,66.09,66.09,66.09,CB01,24,4711387742167,197105742161,
ACX11-004794NX,DZ00110995,Asus,ACX11-004794NX,ASUS WARRANTY EXTENSION- ORIGINAL 12 MONTH WARRANTY WITH 24 MONTH EXTENSIONLOCAL ONSITE SERVICE - 36M - 24M/12M OUT-OF-BOX (NEW ZEALAND),252.00,,164.00,164.00,164.00,Warranty Upgrade,B,ACX11-004794NX,ACX11-004794NX,
AJ0T1AA(JETWLBK),DZ00112186,HP,AJ0T1AA,HYPERX CLOUD JET - WIRELESS GAMING HEADSET (BLACK),139.00,28/11/2025,117.00,117.00,117.00,Headset And Microphone,0,,198701202189,
AM7A0AA(JETWLBU),DZ00112187,HP,AM7A0AA,HYPERX CLOUD JET - WIRELESS GAMING HEADSET (BLUE),139.00,,117.00,117.00,117.00,Headset And Microphone,30,,198701343424,
AN1D9AA(QC2GREY),DZ00112188,HP,AN1D9AA,HYPERX QUADCAST 2 - USB MICROPHONE (GREY),289.00,,244.00,244.00,244.00,Headset And Microphone,12,,198701366171,
AP-750G,89061,Asus,90YE00U1-B0ZA00,ASUS PRIME 750W 80 PLUS GOLD FULLY MODULAR ATX 3.0 POWER SUPPLY 8 YEAR WARRANTY,265.00,,165.00,165.00,165.00,PC Power Supply And Cooling,13,,197105268951,
AP-850G,89060,Asus,90YE00U0-B0ZA00,ASUS PRIME 850W 80 PLUS GOLD FULLY MODULAR ATX 3.0 POWER SUPPLY 8 YEAR WARRANTY,295.00,,189.00,189.00,189.00,PC Power Supply And Cooling,12,,197105268845,
AT-AR4050S-40,DZ00110908,Allied Telesis,AT-AR4050S-40,"ALLIED TELESIS AR4050S-40 UTM FIREWALL 2 X GE WAN, 8 X 10/100/1000 LAN, QUAD CORE 1.5GHZ CPU, 2GB RAM, NET.COVER REQUIRED FOR SOFTWARE/SUPPORT COVER",2186.92,,1577.24,1577.24,1577.24,Network Device,15,,99000403640,
AT-AR4050S-5G-40,DZ00111067,Allied Telesis,AT-AR4050S-5G-40,"ALLIED TELESIS AT-AR4050S-5G-40 UTM FIREWALL ROUTER, 2X 10/100/1000 WAN, 8X 10/100/1000 LAN, 5G MOBILE DUAL SIM SLOTS, AU POWER CORD",4580.83,,3304.88,3304.88,3304.88,Network Device,B,,990-007686-40,
AT-FS980M/28-40,DZ00110892,Allied Telesis,AT-FS980M/28-40,"ALLIED TELESIS FS980M/28-40 L3 LITE MANAGED ACCESS SWITCH, 24X 10/100T, 4X SFP UPLINKS, AU POWER CORD",230.00,,152.44,152.44,152.44,Network Device,30,,99000505040,
AT-GS950/10PS V2-40,DZ00110903,Allied Telesis,AT-GS950/10PS V2-40,"ALLIED TELESIS GS950/10PS V2-40 GIGABIT WEBSMART SWITCH, 8X 10/100/1000-T POE+, 2X SFP PORTS, 1 X FIXED PSU, AU POWER CODE",862.50,,621.95,621.95,621.95,Network Device,10,,99000729340,
AT-GS950/28PS V2-40,DZ00110904,Allied Telesis,AT-GS950/28PS V2-40,"ALLIED TELESIS GS950/28PS V2-40 GIGABIT WEBSMART SWITCH, 24X 10/100/1000-T POE+, 4X SFP PORTS, 1 X FIXED PSU, AU POWER CODE",1502.67,,1085.37,1085.37,1085.37,Network Device,10,,99000729540,
AT-GS970M/18PS-R-40,DZ00110877,Allied Telesis,AT-GS970M/18PS-R-40,"ALLIED TELESIS GS970M/18PS-R-40 L3 GIGA LITE MANAGED SWITCH, 16X 10/100/1000T POE+, 2X 100/1000X SFP, RACKMOUNT KIT INCLUDED, AU POWER CORD",1947.33,,1404.47,1404.47,1404.47,Network Device,17,,99000583340,
AT-GS970M/28-40,DZ00110878,Allied Telesis,AT-GS970M/28-40,"ALLIED TELESIS GS970M/28-40 L3 GIGA LITE MANAGED SWITCH, 24X 10/100/1000T, 4X 100/1000X SFP, AU POWER CORD",1826.58,,1319.11,1319.11,1319.11,Network Device,17,,99000579340,
AT-GS970M/28PS-40,DZ00110879,Allied Telesis,AT-GS970M/28PS-40,"ALLIED TELESIS GS970M/28PS-40 L3 GIGA LITE MANAGED SWITCH, 24X 10/100/1000T POE+, 4X 100/1000X SFP, AU POWER CORD",2650.75,,1912.60,1912.60,1912.60,Network Device,20,,99000579440,
AT-GS980MX/10HSM-40,DZ00110893,Allied Telesis,AT-GS980MX/10HSM-40,"ALLIED TELESIS GS980MX/10HSM-40 L3 LITE SWITCH, 8X 100M/1/2.5/5G POE ++, 2X SFP+ PORTS, 1 X FIXED PSU, AU POWER CORD",4638.33,,3345.53,3345.53,3345.53,Network Device,5,,99000722440,
AT-GS980MX/28-40,DZ00110894,Allied Telesis,AT-GS980MX/28-40,"ALLIED TELESIS GS980MX/28-40 L3 LITE SWITCH, 24X 10/100/1000-T, 4X SFP+ PORTS, 1 X FIXED PSU, AU POWER CORD",2668.00,,1924.80,1924.80,1924.80,Network Device,10,,99000589440,
AT-GS980MX/28PSM-40,DZ00110895,Allied Telesis,AT-GS980MX/28PSM-40,"ALLIED TELESIS GS980MX/28PSM-40 L3 LITE SWITCH, 20X 10/100/1000-T POE + , 4X 100M/1G/2.5G/5G-T POE+, 4X SFP+ PORTS, 1 X FIXED PSU, AU POWER CORD",5359.00,,3865.85,3865.85,3865.85,Network Device,10,,99000602140,
AT-IE220-10GHX-980,DZ00111062,Allied Telesis,AT-IE220-10GHX-980,"ALLIED TELESIS AT-IE220-10GHX-980 LAYER 2+ SWITCH, 8X 10/100/1000T, 2X 1G/10G SFP+, INDUSTRIAL ETHERNET, POE++ SUPPORT (TAA COMPLIANT)",2980.42,,1900.41,1900.41,1900.41,Network Device,B,,990-007873-980,
AT-IE220-6GHX-980,DZ00111061,Allied Telesis,AT-IE220-6GHX-980,"ALLIED TELESIS AT-IE220-6GHX-980 LAYER 2+ SWITCH, 4X 10/100/1000T, 2X 1G/10G SFP+, INDUSTRIAL ETHERNET, POE++ SUPPORT (TAA COMPLIANT)",1916.67,,1382.11,1382.11,1382.11,Network Device,B,,990-007874-980,
AT-IE340-12GP-980,DZ00110907,Allied Telesis,AT-IE340-12GP-980,"ALLIED TELESIS IE340-12GP-980 INDUSTRIAL ETHERNET GIGABIT POE+ LAYER 3 SWITCH 8X 10/100/1000T, 4X 100/1000X SFP, TAA COMPLIANT",3478.75,,2213.41,2213.41,2213.41,Network Device,10,,990006296980,
AT-IE510-28GSX-80,DZ00111063,Allied Telesis,AT-IE510-28GSX-80,"ALLIED TELESIS AT-IE510-28GSX-80 L3 STACKABLE SWITCH, 24X 100/1000X SFP, 4X SFP+ PORTS, 2 FIXED POWER SUPPLIES, DC POWER SUPPLIES (NET.COVER REQUIRED)",10196.67,,6483.74,6483.74,6483.74,Network Device,B,,990-004636-80,
AT-PWR150-E41,DZ00111059,Allied Telesis,AT-PWR150-E41,"ALLIED TELESIS AT-PWR150-E41 150W SYSTEM POWER SUPPLY FOR X530DP AND X930 SERIES SWITCHES, AU POWER CORD, 1YR NCA",1665.58,,1063.01,1063.01,1063.01,Network Device,B,,990-004828-E41,
AT-PWR150-E45,DZ00111060,Allied Telesis,AT-PWR150-E45,"ALLIED TELESIS AT-PWR150-E45 150W SYSTEM POWER SUPPLY FOR X530DP AND X930 SERIES SWITCHES, AU POWER CORD, 5YR NCA",2047.00,,1304.88,1304.88,1304.88,Network Device,B,,990-004828-E45,
AT-PWR600-E41,DZ00111053,Allied Telesis,AT-PWR600-E41,"ALLIED TELESIS AT-PWR600-E41 600W AC PSU FOR X950 SERIES SWITCHES, AU POWER CORD, 1YR NCA",3783.50,,2408.54,2408.54,2408.54,Network Device,B,,990-006195-E41,
AT-PWR600-E45,DZ00111054,Allied Telesis,AT-PWR600-E45,"ALLIED TELESIS AT-PWR600-E45 600W AC PSU FOR X950 SERIES SWITCHES, AU POWER CORD, 5YR NCA",4647.92,,2959.35,2959.35,2959.35,Network Device,B,,990-006195-E45,
AT-RKMT-J05,DZ00110912,Allied Telesis,AT-RKMT-J05,"ALLIED TELESIS RKMT-J05 RACK MOUNT KIT FOR AT-X230-10GT, AT GS910/16, AT-GS920/16",122.67,,89.43,89.43,89.43,Network Device,10,,99000390400,
AT-RKMT-J13,DZ00110900,Allied Telesis,AT-RKMT-J13,"ALLIED TELESIS RKMT-J13 RACK MOUNT KIT FOR AT-X230L-17GT/-26GT, AT-X230-18GT/-18GP, AT-IE210L-18GP",97.75,,71.14,71.14,71.14,Network Device,8,,99000477200,
AT-RKMT-J14,DZ00110901,Allied Telesis,AT-RKMT-J14,"ALLIED TELESIS RKMT-J14 RACK MOUNT KIT FOR AT-X230-10GP, AT GS920/8PS, AT-IE210L-10GP, AT AR4K/3K/2K/1K",97.75,,71.14,71.14,71.14,Network Device,8,,99000477300,
AT-RKMT-J15,DZ00110902,Allied Telesis,AT-RKMT-J15,"ALLIED TELESIS RKMT-J15 RACK MOUNT KIT FOR AT-X230-10GP, AT GS920/8PS, AT-IE210L-10GP, AT AR4K/3K/2K/1K",375.67,,272.36,272.36,272.36,Network Device,5,,99000483200,
AT-SP10SR,DZ00110896,Allied Telesis,AT-SP10SR,"ALLIED TELESIS SP10SR SFP MODULE, 10G SR (LC) MULTI-MODE SFP+, 300M, TAA CERTIFIED, MSA CERTIFIED",419.75,,302.85,302.85,302.85,Network Device,8,,99000475800,
AT-SP10TW1,DZ00110898,Allied Telesis,AT-SP10TW1,"ALLIED TELESIS SP10TW1 SFP CABLE, SFP+ TWINAX DIRECT ATTACH CABLE, 1M",337.33,,243.90,243.90,243.90,Network Device,10,,99000325800,
AT-SP10TW3,DZ00110899,Allied Telesis,AT-SP10TW3,"ALLIED TELESIS SP10TW3 SFP CABLE, SFP+ TWINAX DIRECT ATTACH CABLE, 3M",419.75,,302.85,302.85,302.85,Network Device,10,,99000325900,
AT-SPLX10A,DZ00110911,Allied Telesis,AT-SPLX10A,"ALLIED TELESIS SPLX10A SFP MODULE 1000LX (LC) SINGLE-MODE, 10KM, TAA CERTIFIED",266.42,TBC,193.09,193.09,193.09,Network Device,0,,99000600790,
AT-SPSX,DZ00110906,Allied Telesis,AT-SPSX,"ALLIED TELESIS SPSX SFP MODULE, 1000SX (LC) MULTI-MODE SFP, 550M",143.75,,103.66,103.66,103.66,Network Device,10,,99000120100,
AT-SPTXC,DZ00110897,Allied Telesis,AT-SPTXC,"ALLIED TELESIS SPTXC SFP MODULE, 10/100/1000T (RJ-45) SFP, 100M, TAA CERTIFIED",291.33,,209.35,209.35,209.35,Network Device,14,,99000634390,
