StockCode,GCode,Vendor,PartNo,Description,RRP,ETA,Block1_Price,Block2_Price,Block3_Price,ProductGroup,Stock,EAN,UPC,APN
8R2E6AA(HA2COWIBK),DZ00110849,HP,8R2E6AA,HYPERX PULSEFIRE HASTE 2 CORE WIRELESS GAMING MOUSE BLACK,99.00,,86.09,86.09,86.09,Mouse,30,,197498115382,
8R2E7AA((HA2COWIWH),DZ00110850,HP,8R2E7AA,HYPERX PULSEFIRE HASTE 2 CORE WIRELESS GAMING MOUSE WHITE,99.00,,86.09,86.09,86.09,Mouse,11,,197498115399,
91Y91AA(AR75WLKBD),DZ00112087,HP,91Y91AA,HYPERX ALLOY RISE 75 WIRELESS GAMING KEYBOARD,439.00,,375.00,375.00,375.00,Mouse,8,,197498745497,
9A273AA(QC2SBLK),DZ00112088,HP,9A273AA,HYPERX QUADCAST 2 S - USB MICROPHONE (BLACK),379.00,,320.00,320.00,320.00,Headset And Microphone,13,,197961186741,
9B001AA(PH2SWLNAVY),DZ00112090,HP,9B001AA,HYPERX PULSEFIRE HASTE 2 S NAVY WIRELESS GAMING MOUSE,279.00,,236.00,236.00,236.00,Mouse,13,,197961217414,
9B002AA(PH2SWLSILVR),DZ00112091,HP,9B002AA,HYPERX PULSEFIRE HASTE 2 S SILVER WIRELESS GAMING MOUSE,279.00,,235.00,235.00,235.00,Mouse,17,,197961217421,
A1KY5AA(PH2PRO4K),DZ00112089,HP,A1KY5AA,HYPERX PULSEFIRE HASTE 2 PRO - 4K WIRELESS GAMING MOUSE,229.00,,193.00,193.00,193.00,Mouse,19,,198122802432,
A2PB2AA(PSPROWL),DZ00112092,HP,A2PB2AA,HYPERX PULSEFIRE SAGA PRO WIRELESS GAMING MOUSE (BLACK),199.00,,168.00,168.00,168.00,Mouse,11,,198415001658,
A2PB3AA(PSWIRED),DZ00112093,HP,A2PB3AA,HYPERX PULSEFIRE SAGA WIRED GAMING MOUSE (BLACK),129.00,,109.00,109.00,109.00,Mouse,17,,198415001641,
A59YZAA(CLOUDIIISWIRELESSBK),DZ00113669,HP,A59YZAA,HYPERX CLOUD III S WIRELESS GAMING HEADSET (BLACK),349.00,,295.00,295.00,295.00,Headset And Microphone,30,,198415435590,
A59Z0AA(CLOUDIIISWIRELESSB/R),DZ00113670,HP,A59Z0AA,HYPERX CLOUD III S WIRELESS GAMING HEADSET (BLACK/RED),349.00,,295.00,295.00,295.00,Headset And Microphone,12,,198415435569,
A8000-100PAS,87307,Netgear,A8000-100PAS,NETGEAR NIGHTHAWK AXE3000 USB WIRELESS ADAPTER - USB 3.0,169.95,,133.00,133.00,133.00,Network Device,30,606449160987,606449160987,
AC1600 CARRY BAG,DZ00112932,Asus,90XB0A60-BSL000,ASUS AC1600 CARRY BAG/GR/16//15 IN 1,49.99,,26.67,26.67,26.67,CB01,30,4711636079792,199291079793,
AC65-00(A23-065N1A),DZ00112934,Asus,90XB04EN-MPW1L0,ASUS AC65-00(A23-065N1A)/AU//TYPE C/3PIN/V4/6PCS,95.00,,66.09,66.09,66.09,CB01,22,4711387742167,197105742161,
ACX11-004794NX,DZ00110995,Asus,ACX11-004794NX,ASUS WARRANTY EXTENSION- ORIGINAL 12 MONTH WARRANTY WITH 24 MONTH EXTENSIONLOCAL ONSITE SERVICE - 36M - 24M/12M OUT-OF-BOX (NEW ZEALAND),295.00,,179.00,179.00,179.00,Warranty Upgrade,B,ACX11-004794NX,ACX11-004794NX,
AJ0T1AA(JETWLBK),DZ00112186,HP,AJ0T1AA,HYPERX CLOUD JET - WIRELESS GAMING HEADSET (BLACK),139.00,,117.00,117.00,117.00,Headset And Microphone,30,,198701202189,
AM7A0AA(JETWLBU),DZ00112187,HP,AM7A0AA,HYPERX CLOUD JET - WIRELESS GAMING HEADSET (BLUE),139.00,,117.00,117.00,117.00,Headset And Microphone,2,,198701343424,
AN1D9AA(QC2GREY),DZ00112188,HP,AN1D9AA,HYPERX QUADCAST 2 - USB MICROPHONE (GREY),289.00,,244.00,244.00,244.00,Headset And Microphone,14,,198701366171,
AP4600 ASUS BACKPACK,DZ00112931,Asus,90XB08L0-BBP050,AP4600 ASUS BACKPACK//16/BK/HB/S/WW/15 IN 1,59.00,,27.00,27.00,27.00,CB01,17,197105146129,197105146129,
AP-750G,89061,Asus,90YE00U1-B0ZA00,ASUS PRIME 750W 80 PLUS GOLD FULLY MODULAR ATX 3.0 POWER SUPPLY 8 YEAR WARRANTY,265.00,,165.00,165.00,165.00,PC Power Supply And Cooling,12,,197105268951,
AP-850G,89060,Asus,90YE00U0-B0ZA00,ASUS PRIME 850W 80 PLUS GOLD FULLY MODULAR ATX 3.0 POWER SUPPLY 8 YEAR WARRANTY,295.00,,189.00,189.00,189.00,PC Power Supply And Cooling,10,,197105268845,
AT-AR4050S-40,DZ00110908,Allied Telesis,AT-AR4050S-40,"ALLIED TELESIS AR4050S-40 UTM FIREWALL 2 X GE WAN, 8 X 10/100/1000 LAN, QUAD CORE 1.5GHZ CPU, 2GB RAM, NET.COVER REQUIRED FOR SOFTWARE/SUPPORT COVER",2186.92,TBC,1577.24,1577.24,1577.24,Network Device,0,,99000403640,
AT-AR4050S-5G-40,DZ00111067,Allied Telesis,AT-AR4050S-5G-40,"ALLIED TELESIS AT-AR4050S-5G-40 UTM FIREWALL ROUTER, 2X 10/100/1000 WAN, 8X 10/100/1000 LAN, 5G MOBILE DUAL SIM SLOTS, AU POWER CORD",4580.83,,3304.88,3304.88,3304.88,Network Device,B,,990-007686-40,
AT-FS980M/28-40,DZ00110892,Allied Telesis,AT-FS980M/28-40,"ALLIED TELESIS FS980M/28-40 L3 LITE MANAGED ACCESS SWITCH, 24X 10/100T, 4X SFP UPLINKS, AU POWER CORD",230.00,,152.44,152.44,152.44,Network Device,30,,99000505040,
AT-GS950/10PS V2-40,DZ00110903,Allied Telesis,AT-GS950/10PS V2-40,"ALLIED TELESIS GS950/10PS V2-40 GIGABIT WEBSMART SWITCH, 8X 10/100/1000-T POE+, 2X SFP PORTS, 1 X FIXED PSU, AU POWER CODE",862.50,TBC,621.95,621.95,621.95,Network Device,0,,99000729340,
AT-GS950/28PS V2-40,DZ00110904,Allied Telesis,AT-GS950/28PS V2-40,"ALLIED TELESIS GS950/28PS V2-40 GIGABIT WEBSMART SWITCH, 24X 10/100/1000-T POE+, 4X SFP PORTS, 1 X FIXED PSU, AU POWER CODE",1502.67,TBC,1085.37,1085.37,1085.37,Network Device,0,,99000729540,
AT-GS970M/18PS-R-40,DZ00110877,Allied Telesis,AT-GS970M/18PS-R-40,"ALLIED TELESIS GS970M/18PS-R-40 L3 GIGA LITE MANAGED SWITCH, 16X 10/100/1000T POE+, 2X 100/1000X SFP, RACKMOUNT KIT INCLUDED, AU POWER CORD",1947.33,TBC,1404.47,1404.47,1404.47,Network Device,0,,99000583340,
AT-GS970M/28-40,DZ00110878,Allied Telesis,AT-GS970M/28-40,"ALLIED TELESIS GS970M/28-40 L3 GIGA LITE MANAGED SWITCH, 24X 10/100/1000T, 4X 100/1000X SFP, AU POWER CORD",1826.58,TBC,1319.11,1319.11,1319.11,Network Device,0,,99000579340,
AT-GS970M/28PS-40,DZ00110879,Allied Telesis,AT-GS970M/28PS-40,"ALLIED TELESIS GS970M/28PS-40 L3 GIGA LITE MANAGED SWITCH, 24X 10/100/1000T POE+, 4X 100/1000X SFP, AU POWER CORD",2650.75,TBC,1912.60,1912.60,1912.60,Network Device,0,,99000579440,
AT-GS980MX/10HSM-40,DZ00110893,Allied Telesis,AT-GS980MX/10HSM-40,"ALLIED TELESIS GS980MX/10HSM-40 L3 LITE SWITCH, 8X 100M/1/2.5/5G POE ++, 2X SFP+ PORTS, 1 X FIXED PSU, AU POWER CORD",4638.33,TBC,3345.53,3345.53,3345.53,Network Device,0,,99000722440,
AT-GS980MX/28-40,DZ00110894,Allied Telesis,AT-GS980MX/28-40,"ALLIED TELESIS GS980MX/28-40 L3 LITE SWITCH, 24X 10/100/1000-T, 4X SFP+ PORTS, 1 X FIXED PSU, AU POWER CORD",2668.00,TBC,1924.80,1924.80,1924.80,Network Device,0,,99000589440,
AT-GS980MX/28PSM-40,DZ00110895,Allied Telesis,AT-GS980MX/28PSM-40,"ALLIED TELESIS GS980MX/28PSM-40 L3 LITE SWITCH, 20X 10/100/1000-T POE + , 4X 100M/1G/2.5G/5G-T POE+, 4X SFP+ PORTS, 1 X FIXED PSU, AU POWER CORD",5359.00,TBC,3865.85,3865.85,3865.85,Network Device,0,,99000602140,
AT-IE220-10GHX-980,DZ00111062,Allied Telesis,AT-IE220-10GHX-980,"ALLIED TELESIS AT-IE220-10GHX-980 LAYER 2+ SWITCH, 8X 10/100/1000T, 2X 1G/10G SFP+, INDUSTRIAL ETHERNET, POE++ SUPPORT (TAA COMPLIANT)",2980.42,,1900.41,1900.41,1900.41,Network Device,B,,990-007873-980,
AT-IE220-6GHX-980,DZ00111061,Allied Telesis,AT-IE220-6GHX-980,"ALLIED TELESIS AT-IE220-6GHX-980 LAYER 2+ SWITCH, 4X 10/100/1000T, 2X 1G/10G SFP+, INDUSTRIAL ETHERNET, POE++ SUPPORT (TAA COMPLIANT)",1916.67,,1382.11,1382.11,1382.11,Network Device,B,,990-007874-980,
AT-IE340-12GP-980,DZ00110907,Allied Telesis,AT-IE340-12GP-980,"ALLIED TELESIS IE340-12GP-980 INDUSTRIAL ETHERNET GIGABIT POE+ LAYER 3 SWITCH 8X 10/100/1000T, 4X 100/1000X SFP, TAA COMPLIANT",3478.75,TBC,2213.41,2213.41,2213.41,Network Device,0,,990006296980,
AT-IE510-28GSX-80,DZ00111063,Allied Telesis,AT-IE510-28GSX-80,"ALLIED TELESIS AT-IE510-28GSX-80 L3 STACKABLE SWITCH, 24X 100/1000X SFP, 4X SFP+ PORTS, 2 FIXED POWER SUPPLIES, DC POWER SUPPLIES (NET.COVER REQUIRED)",10196.67,,6483.74,6483.74,6483.74,Network Device,B,,990-004636-80,
AT-PWR150-E41,DZ00111059,Allied Telesis,AT-PWR150-E41,"ALLIED TELESIS AT-PWR150-E41 150W SYSTEM POWER SUPPLY FOR X530DP AND X930 SERIES SWITCHES, AU POWER CORD, 1YR NCA",1665.58,,1063.01,1063.01,1063.01,Network Device,B,,990-004828-E41,
AT-PWR150-E45,DZ00111060,Allied Telesis,AT-PWR150-E45,"ALLIED TELESIS AT-PWR150-E45 150W SYSTEM POWER SUPPLY FOR X530DP AND X930 SERIES SWITCHES, AU POWER CORD, 5YR NCA",2047.00,,1304.88,1304.88,1304.88,Network Device,B,,990-004828-E45,
AT-PWR600-E41,DZ00111053,Allied Telesis,AT-PWR600-E41,"ALLIED TELESIS AT-PWR600-E41 600W AC PSU FOR X950 SERIES SWITCHES, AU POWER CORD, 1YR NCA",3783.50,,2408.54,2408.54,2408.54,Network Device,B,,990-006195-E41,
AT-PWR600-E45,DZ00111054,Allied Telesis,AT-PWR600-E45,"ALLIED TELESIS AT-PWR600-E45 600W AC PSU FOR X950 SERIES SWITCHES, AU POWER CORD, 5YR NCA",4647.92,,2959.35,2959.35,2959.35,Network Device,B,,990-006195-E45,
AT-RKMT-J05,DZ00110912,Allied Telesis,AT-RKMT-J05,"ALLIED TELESIS RKMT-J05 RACK MOUNT KIT FOR AT-X230-10GT, AT GS910/16, AT-GS920/16",122.67,TBC,89.43,89.43,89.43,Network Device,0,,99000390400,
AT-RKMT-J13,DZ00110900,Allied Telesis,AT-RKMT-J13,"ALLIED TELESIS RKMT-J13 RACK MOUNT KIT FOR AT-X230L-17GT/-26GT, AT-X230-18GT/-18GP, AT-IE210L-18GP",97.75,TBC,71.14,71.14,71.14,Network Device,0,,99000477200,
AT-RKMT-J14,DZ00110901,Allied Telesis,AT-RKMT-J14,"ALLIED TELESIS RKMT-J14 RACK MOUNT KIT FOR AT-X230-10GP, AT GS920/8PS, AT-IE210L-10GP, AT AR4K/3K/2K/1K",97.75,TBC,71.14,71.14,71.14,Network Device,0,,99000477300,
AT-RKMT-J15,DZ00110902,Allied Telesis,AT-RKMT-J15,"ALLIED TELESIS RKMT-J15 RACK MOUNT KIT FOR AT-X230-10GP, AT GS920/8PS, AT-IE210L-10GP, AT AR4K/3K/2K/1K",375.67,TBC,272.36,272.36,272.36,Network Device,0,,99000483200,
AT-SP10SR,DZ00110896,Allied Telesis,AT-SP10SR,"ALLIED TELESIS SP10SR SFP MODULE, 10G SR (LC) MULTI-MODE SFP+, 300M, TAA CERTIFIED, MSA CERTIFIED",419.75,TBC,302.85,302.85,302.85,Network Device,0,,99000475800,
AT-SP10TW1,DZ00110898,Allied Telesis,AT-SP10TW1,"ALLIED TELESIS SP10TW1 SFP CABLE, SFP+ TWINAX DIRECT ATTACH CABLE, 1M",337.33,TBC,243.90,243.90,243.90,Network Device,0,,99000325800,
AT-SP10TW3,DZ00110899,Allied Telesis,AT-SP10TW3,"ALLIED TELESIS SP10TW3 SFP CABLE, SFP+ TWINAX DIRECT ATTACH CABLE, 3M",419.75,TBC,302.85,302.85,302.85,Network Device,0,,99000325900,
AT-SPLX10A,DZ00110911,Allied Telesis,AT-SPLX10A,"ALLIED TELESIS SPLX10A SFP MODULE 1000LX (LC) SINGLE-MODE, 10KM, TAA CERTIFIED",266.42,TBC,193.09,193.09,193.09,Network Device,0,,99000600790,
AT-SPSX,DZ00110906,Allied Telesis,AT-SPSX,"ALLIED TELESIS SPSX SFP MODULE, 1000SX (LC) MULTI-MODE SFP, 550M",143.75,TBC,103.66,103.66,103.66,Network Device,0,,99000120100,
AT-SPTXC,DZ00110897,Allied Telesis,AT-SPTXC,"ALLIED TELESIS SPTXC SFP MODULE, 10/100/1000T (RJ-45) SFP, 100M, TAA CERTIFIED",291.33,TBC,209.35,209.35,209.35,Network Device,0,,99000634390,
AT-TQ1402-00,DZ00110909,Allied Telesis,AT-TQ1402-00,"ALLIED TELESIS TQ1402-00 WIRELESS ACCESS POINT HYBRID WI-FI 5 (2X2) 802.11AC WAVE 2, DUAL-BAND 2.4 GHZ, 5 GHZ",139.92,,101.63,101.63,101.63,Network Device,15,,99000655400,
AT-TQ6602-00,DZ00110910,Allied Telesis,AT-TQ6602-00,"ALLIED TELESIS TQ6602-00 WIRELESS ACCESS POINT HYBRID WI-FI 6 (4X4) 802.11AX, DUAL-BAND 2.4 GHZ, 5 GHZ, 5G UPLINK PORT",699.58,,504.07,504.07,504.07,Network Device,20,,99000731100,
AT-TQ6702 GEN2-00,DZ00111064,Allied Telesis,AT-TQ6702 GEN2-00,"ALLIED TELESIS AT-TQ6702 GEN2-00 WIRELESS ACCESS POINT, IEEE 802.11AX, DUAL BAND RADIOS, SUPPORT WIFI6 ON 5GHZ BAND, AC POWER ADAPTER NOT INCLUDED.",1245.83,,898.37,898.37,898.37,Network Device,B,,990-007792-00,
AT-TQ6702 GEN2-R-00,DZ00111065,Allied Telesis,AT-TQ6702 GEN2-R-00,"ALLIED TELESIS AT-TQ6702 GEN2-R-00 WI-FI 6 WIRELESS AP ROUTER, SUPPORTS WIFI6 WITH 8 SPATIAL STREAMS, AC POWER ADAPTER NOT INCLUDED.",1897.50,,1369.92,1369.92,1369.92,Network Device,B,,990-008134-00,
AT-TQ6702E GEN2-00,DZ00111066,Allied Telesis,AT-TQ6702E GEN2-00,"ALLIED TELESIS AT-TQ6702E GEN2-00 OUTDOOR WIRELESS ACCESS POINT, IEEE 802.11AX, DUAL BAND RADIOS, WIFI6 ON 5GHZ BAND, AC POWER ADAPTER NOT INCLUDED.",6133.33,,4422.76,4422.76,4422.76,Network Device,B,,990-007920-00,
AT-TQ7403-05,DZ00110905,Allied Telesis,AT-TQ7403-05,"ALLIED TELESIS TQ7403-05 WIRELESS ACCESS POINT HYBRID WI-FI 6E (802.11AX) TRI-BAND 2.4GHZ, 5 GHZ, 6GHZ",2683.33,TBC,1934.96,1934.96,1934.96,Network Device,0,,99000810005,
AT-X230-10GP-40,DZ00110883,Allied Telesis,AT-X230-10GP-40,"ALLIED TELESIS X230-10GP-40 L2+ GIGA SWITCH, 8X 10/100/1000-T POE+, 2X SFP PORTS, 1 X FIXED PSU, AU POWER CORD",2284.67,TBC,1455.28,1455.28,1455.28,Network Device,0,,99000403140,
AT-X230-10GT-40,DZ00110880,Allied Telesis,AT-X230-10GT-40,"ALLIED TELESIS X230-10GT-40 L2+ GIGA SWITCH, 8X 10/100/1000-T, 2X SFP PORTS, 1 X FIXED PSU, AU POWER CORD",1376.17,TBC,876.02,876.02,876.02,Network Device,0,,99000539240,
AT-X230-18GP-40,DZ00110884,Allied Telesis,AT-X230-18GP-40,"ALLIED TELESIS X230-18GP-40 L2+ GIGA SWITCH, 16X 10/100/1000-T POE+, 2X SFP PORTS, 1 X FIXED PSU, AU POWER CORD",2543.42,TBC,1619.92,1619.92,1619.92,Network Device,0,,99000413240,
AT-X230-18GT-40,DZ00110881,Allied Telesis,AT-X230-18GT-40,"ALLIED TELESIS X230-18GT-40 L2+ GIGA SWITCH, 16X 10/100/1000-T, 2X SFP PORTS, 1 X FIXED PSU, AU POWER CORD",1887.92,TBC,1201.22,1201.22,1201.22,Network Device,0,,99000503740,
