Manufacturer Brand,MPN,Description,Dealer ex GST
Alfatron,ALF-HDMI-D (Gen2),"Alfatron ALF-HDMI-D (Gen2) wireless video dongle with a HDMI and USB-A (power only), for use with Alfatron ALF-UC1 and ALF-UC1 (Gen2)",622
Alfatron,ALF-WMP4,"Alfatron 4 Ch Wireless Microphone System designed to integrate with popular meeting software platforms. Includes receiver and 4 boundary microphones with 360° 2m pickup, 2.4GHz, 384ms AEC, Full Duplex. Receiver includes both a USB and line level output. Includes connection and charging cables. Mics can be charged using wireless charging pads.",3885
Alfatron,ALF-4KU3-CAP,"Alfatron 4K HDMI to USB3 video Capture card with HDMI Loop out. Recording max resolution up to 4K @30Hz or 1080p @ 120Hz. Input: 1x HDMI,  1x 3.5mm Line In. Output: 1x HDMI, 1x 3.5mm Line Out, 1x USB-B.
",376
Alfatron,ALF-DSP44-U,"Alfatron 4 in / 4 out Audio Digital Signal Processor with Advanced audio processing capabilities and featuring 4 analogue inputs and 4 analogue outputs and USB Audio. Fixed architecture software with two AEC's. RS-232, RS-485, and IP control. 1/2 RU with rack kit. ",2093
Alfatron,ALF-DSP44-UD,"Alfatron 4 in / 4 out Audio Digital Signal Processor with Dante and Advanced audio processing capabilities. Featuring 4 analogue inputs and 4 analogue outputs, 4 Dante inputs and 4 Dante outputs, USB Audio.  Fixed architecture software with two AEC's. RS-232, RS-485, and IP control. Also features POE power on Dante port. 1/2 RU with rack kit. ",2742
Alfatron,ALF-DSP88-U,"Alfatron 8 in / 8 out Audio Digital Signal Processor with Advanced audio processing capabilities and features 8 analogue inputs and 8 analogue outputs, USB Audio, 8 General Purpose Input / Output (GPIO) connections.  Fixed architecture software with one AEC. RS-232, RS-485, and IP control. 1RU.",3320
Alfatron,ALF-DSP88-UD,"Alfatron 8 in / 8 out Audio Digital Signal Processor with Dante and Advanced audio processing capabilities. Featuring 8 analogue inputs and 8 analogue outputs, 8 Dante inputs and 8 Dante outputs, USB Audio. Fixed architecture software with one AEC. 8 General Purpose Input / Outputs (GPIO). RS-232, RS-485, and IP control. 1RU.",4548
Alfatron,ALF-DSP1616-U,"Alfatron 16 in / 16 out Audio Digital Signal Processor with Advanced audio processing capabilities. Featuring 16 analogue inputs and 16 analogue outputs, USB Audio. Fixed architecture software with one AEC. 8 General Purpose Input / Outputs (GPIO). RS-232, RS-485, and IP control. 1RU.",4330
Alfatron,ALF-CP1L,"Alfatron Wall mounted control panel for Alfatron DSP models, consisting of a 1.3” OLED screen and a rotary encoder with Push-to-Select. Single CAT5 connection for control and power. Programmed from Alfatron DSP software. Connection: 1 x RJ-45",807
Alfatron,ALF-SALUT,"Alfatron USB 2.0 Mini Video Conference System. All in one System with a Full HD Webcam, built-in microphone and speaker. The field of view on the camera is 90°. It has additional USB2.0 ports. The speaker is 2w with acoustic echo and noise cancellation built-in. Fixed USB-A cable. OBS Software compatible.",380
Alfatron,ALF-SBUSB2C,"Alfatron Conferencing Soundbar. All in one video conference device with integrated Multi microphone array and Full HD 1080p 120° wide-angle camera. Full Duplex, 180° 5m pickup, 384ms AEC, mechanical adjustable lens, 8w loudspeaker, USB Plug and play, Supplied with USB cable. ",1094
Alfatron,ALF-HOLA,"Alfatron USB 3.0 Conference Camera. 4K UHD ePTZ video conference camera, Facial detection frames active talkers, 2 built-in microphones with pickup distance up to 5 metres, noise suppression algorithm, USB Plug and play, 120° super wide view angle, equipped with a mould clamp. Easy to install on any device, such as LCD screen, PC, table and tripod. Supplied with USB Cable.",1069
Alfatron,ALF-CAM100,"Alfatron USB 2.0 HD Web camera equipped with 1080p and 120? wide range shooting angle. Mechanical Adjustable Lens -30? to 30? V and -150? to 150? H, USB Plug and Play, Mounting bracket can accommodate different sized screens, fixed USB-A cable.",463
Alfatron,ALF-CMW101,"Alfatron ALF-CMW101 Camera/Speakerphone Kit. Includes CAM100 USB 2.0HD Web Camera with one Speaker Phone. 2.4GHz wireless speaker phone,  360° coverage, 256ms AEC, Full Duplex, Noise reduction (DNR), USB Plug and Play, Camera mounting bracket can accommodate different sized screens.",1315
Alfatron,ALF-CMW102,"Alfatron ALF-CMW102 Camera/Speakerphone Kit. Includes CAM100 USB 2.0HD Web Camera with  two Speaker Phone. 2.4GHz wireless speaker phone,  360° coverage, 256ms AEC, Full Duplex, Noise reduction (DNR), USB Plug and Play, Camera mounting bracket can accommodate different sized screens.",1783
Alfatron,ALF-3XUSB2C,"Alfatron USB 2.0 1080P PTZ camera equipped with a 3x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Includes IR remote, USB cable. Supports VISCA, PELCO-D, PELCO-P protocols, USB or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",1164
Alfatron,ALF-10XUSB2C,"Alfatron USB 2.0 1080P PTZ camera equipped with a 10x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Includes IR remote, USB cable. Supports VISCA, PELCO-D, PELCO-P protocols, USB or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",1196
Alfatron,ALF-10X-CAM,"Alfatron HDMI PTZ camera equipped with a 10x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265 and HDMI. Control Protocols – VISCA IP, ONVIF, PELCO-D, PELCO-C and VISCA standard protocols.  Includes IR remote, USB A to USB A cable. USB or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",2496
Alfatron,ALF-12X-CAM,"Alfatron HDMI PTZ camera equipped with a 12x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265 and HDMI. Control Protocols – VISCA IP, ONVIF, PELCO-D, PELCO-C and VISCA standard protocols.  Includes IR remote, USB A to USB A cable. USB or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",2671
Alfatron,ALF-20X-CAM,"Alfatron HDMI PTZ camera equipped with a 20x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265 and HDMI. Control Protocols – VISCA IP, ONVIF, PELCO-D, PELCO-C and VISCA standard protocols.  Includes IR remote, USB A to USB A cable. USB or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",2671
Alfatron,ALF-12X-4KCAM,"Alfatron 4K 60FPS HDMI PTZ camera equipped with a 12x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265 and HDMI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",3927
Alfatron,ALF-12X-SDIC,"Alfatron SDI PTZ camera equipped with a 12x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",2929
Alfatron,ALF-20X-SDIC,"Alfatron SDI PTZ camera equipped with a 20x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",2757
Alfatron,ALF-30X-SDIC,"Alfatron SDI PTZ camera equipped with a 30x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",3411
Alfatron,ALF-20X-NDIC,"Alfatron NDI PTZ camera equipped with a 20x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via LAN(NDI), H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. Black in colour",3411
Alfatron,ALF-30X-NDIC,"Alfatron NDI PTZ camera equipped with a 30x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via LAN(NDI), H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available.  Black in colour",4050
Alfatron,ALF-20X-NDIC WW,"Alfatron NDI PTZ camera equipped with a 20x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via LAN(NDI), H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. White in colour",3411
Alfatron,ALF-30X-NDIC WW,"Alfatron NDI PTZ camera equipped with a 30x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via LAN(NDI), H.264/H.265,HDMI and SDI. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. White in colour",4050
Alfatron,ALF-25X-4KNDI ,"Alfatron 25X 4K PTZ camera with a 59.2° (Wide) degree shooting angle, a 25x optical zoom lens, HDMI, 3G-SDI, NDI HX3 and USB3.0 connectivity. AI Powered Auto Tracking, Lan (POE and NDI), Audio in, Multifunction IR remote control, RS-422, RS-232 in and out control options and PC control using Sony VISCA or Pelco-D/ Pelco-P command. Available in Black or Silver. Includes remote control and choice of ceiling or wall mount bracket.",7331
Alfatron,ALF-20X-HDBaseT,"Alfatron HDBaseT PTZ camera equipped with a 20x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via HDBT and H.264/H.265. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",3273
Alfatron,ALF-30X-HDBaseT,"Alfatron HDBaseT PTZ camera equipped with a 30x zoom lens. This PTZ camera is suitable for medium to large-sized meeting rooms, boardrooms, and conference venues. Simultaneously streams via HDBT and H.264/H.265. Supports Control protocols - IP VISCA, VISCA, ONVIF, RTSP & RTMP, PELCO-D, PELCO-C.  Includes IR remote, USB A to USB A cable. POE or 12V DC Powered. Includes wall bracket, optional ceiling bracket also available. ",3704
Alfatron,ALF-12X-HD-TC,"Alfatron 12X 1080p PTZ Tracking Camera with 6.3(tele) - 72.5(wide) degree shooting angle, and one Wide angle Panoramic camera, 2 x HDMI, 2 x USB3.0, 2 x Lan, Multifunction IR remote control, RS-232/ RS-485 and IP control using VISCA or Pelco-D/ Pelco-P command. Includes remote control and wall mount bracket. Grey.",4038
Alfatron,ALF-20X-HD-TC,"Alfatron 20X 1080p PTZ Camera with 2.9(tele) – 55.4(wide) degree shooting angle, and one Wide angle Panoramic camera, 2 x HDMI, 2 x USB3.0, 2 x Lan, Multifunction IR remote control, RS-232/ RS-485 and IP control using VISCA or Pelco-D/ Pelco-P command. Includes remote control and wall mount bracket. Grey.",3769
Alfatron,ALF-20X-SD-TC,Alfatron 20X Auto Tracking system with Dual Cameras. PTZ camera has a 2.9(tele) - 55.4(wide) degree shooting angle. Dual SDI and LAN. Audio IN and RS-232 control using VISCA or Pelco-D/Pelco-P commands. POE Powered. Includes remote control and wall mount bracket. Grey.,3769
Alfatron,ALF-CEILINGSH,Alfatron PTZ Camera Ceiling Mount Bracket. Compatible with all Alfatron PTZ Cameras. Cameras come standard with a wall bracket. ,138
Alfatron,ALF-IPCON-HDMI,"Alfatron IPCON-HDMI PTZ Camera controller includes a HDMI video output. The HDMI OUT provides real-time output of the camera feed to a display device (1080P/30Fps). The IPCON-HDMI can connect up to 255 IP cameras or 7 analogue (255 cameras in total). It supports various control protocols, allowing each numbered camera to independently set its control protocol. Network protocols: Onvif; Visca over IP (UDP); Visca over IP (TCP); Sony Visca; NDI; and analogue protocols: Visca; Pelco-D; Pelco-P.",1518
Alfatron,ALF-SUK2 (Gen2),"Alfatron 1x2 HDMI Splitter with audio de-embedder (balanced, dual RCA and optical outputs). 2 Simultaneous HDMI outputs, Support HDMI2.0 & HDCP2.2, resolutions up to 4Kx2K@60Hz 4:4:4, 18Gbps high bandwidth, CEC Supported, auto EDID management, indicators for input status and HDCP. DC plugpack included",301
Alfatron,ALF-SUK4 (Gen2),"Alfatron 1x4 HDMI Splitter with audio de-embedder (balanced, dual RCA and optical outputs). 4 Simultaneous HDMI outputs, Support HDMI2.0 & HDCP2.2, resolutions up to 4Kx2K@60Hz 4:4:4, 18Gbps high bandwidth, CEC Supported, auto EDID management, indicators for input status and HDCP. DC plugpack included",380
Alfatron,ALF-SUK4T,"Alfatron 1x4 4K HDBaseT Splitter. RS232 and IR for Display Control. Supports 4K@60Hz 4:4:4 and EDID management. Transmits 4K up to 328ft (100m) and 1080p up to 492ft (150m) on the HDBaseT ports. Includes HDBaseT receivers. INPUTS: 1 x HDMI, IR OUTPUTS: 4 x RJ45 (HDBaseT) with PoC, 1 x HDMI (for cascading), IR, 1x Coaxial Audio Out, 1x L/R Audio out and RS232 control",2378
Alfatron,ALF-WUK3A,"Alfatron 3x1 HDMI Auto Switcher. 3 HDMI inputs, Support HDMI2.0 & HDCP2.2, resolutions up to 4Kx2K@60Hz 4:4:4, 18Gbps high bandwidth, CEC Supported, auto EDID management. IR remote included.",221
Alfatron,ALF-WUK4A,"Alfatron 4x1 HDMI Auto Switcher. 4 HDMI inputs, 1x HDMI Output with Audio De-Embedder, Support HDMI2.0 & HDCP2.2, resolutions up to 4Kx2K@60Hz 4:4:4, 18Gbps high bandwidth, CEC Supported, auto EDID management, Controllable via RS232 and IR, Supports audio return channel (ARC). DC plugpack and IR remote included.",673
Alfatron,ALF-SCK51TS-D,"Alfatron 5x1 4K Seamless Presentation Switcher with Multiview, Dante and USB. Video Inputs on USB-C DP Alt Mode and HDMI 2.0, with HDCP2.2. Resolutions up to 4K@60Hz 4:4:4, RS-232 & IP CONTROL with Web GUI, IR control, POH (Power over HDbaseT). INPUTS: 2 x USB-C DP, 3x HDMI, 2 x Line in, 2 x Dante audio in OUTPUTS: 1 x HDMI, 1 x HDBaseT, 2x Analog Audio (5-Pin terminal block), 2 x Dante Audio Out, 1x SPDIF (Toslink) USB KVM: 2 x USB-A Device connections, 2 x USB-C & 1 x USB-B Host connections",4455
Alfatron,ALF-IP2HE,"Alfatron AV over IP Encoder, 1080P@60Hz, Supports high-efficiency H.264/265 video codec, Supports MPEG4-AAC and LPCM stereo audio, Easy to build an IP matrix or a video wall, RS232 control follows video routing. Powered via POE or DC plugpack ",579
Alfatron,ALF-IP2HD,"Alfatron AV over IP Decoder, 1080P@60Hz, Supports high-efficiency H.264/265 video codec, Supports MPEG4-AAC and LPCM stereo audio, Easy to build an IP matrix or a video wall, built-in scaler, RS232 control follows video routing. Powered via POE or DC plugpack ",579
Alfatron,ALF-IPK1HE,"Alfatron Networked AV over IP encoder adopting the latest H.265 compression technology with resolutions up to 4K@30Hz. The Encoder can be used in an IP video matrix or video wall setup. Supports high-efficiency H.264/265 video codec with MPEG4-AAC and LPCM stereo audio. Built-in scaler for fast and seamless switching. RS-232 throughput supported to decoder. INPUT: 1 x HDMI; OUTPUT: 1 x LAN (POE), 1 x Line out, CONTOL: 1 x RS-232",667
Alfatron,ALF-IPK1HD,"Alfatron Networked AV over IP Decoder adopting the latest H.265 compression technology with resolutions up to 4K@30Hz. The Decoder can be used in an IP video matrix or video wall setup. Works easily with an Ethernet switch, no need to configure IP’s; real plug and play solution. Supports high-efficiency H.264/265 video codec with MPEG4-AAC and LPCM stereo audio. Built-in scaler for fast and seamless switching. RS-232 route follows the switching of video source. INPUT: 1 x LAN (POE); OUTPUT: 1 x HDMI, 1 x Line out. CONTROL: 1 x RS-232",667
Alfatron,ALF-USBC-EXT,"The ALF-USBC-EXT is a 4K, zero latency USB-C DisplayPort (DP Alt mode) to HDMI extender set utilising CAT6/6A/7 cable with transmission distances of up to 60m for 4K@60Hz and 25m for 4K@100/120Hz signals. Supports HDR10, EDID passthrough. TX powered by signal source; RX powered by DC 5V500mA.  TX I/O: 1 x USB-C input, 1 x RJ45 output RX I/O: 1 x RJ45 input, 1 x HDMI output",455
Alfatron,ALF-EXT60IR-18G ,"Alfatron HDMI Extender Set. Supports 18Gbps 4K@60Hz 4:4:4 up to 70m, HDMI 2.0, HDCP2.2, bidirectional IR pass through, Supports PoC, the Receiver can be powered via Transmitter. HDMI loop out on transmitter. Receiver supports 1080p downscaling.",431
Alfatron,ALF-TPUK70RS-Rx/Tx,"Alfatron HDMI Extender Set. HDMI 2.0, HDCP 2.2, 18GBPS 4Kx2K up to 40m and 1080p up to 70m, bidirectional PoC, supports CEC, IR and RS232.",947
Alfatron,ALF-TPBK70-R,"Alfatron HDBaseT receiver that supports video resolutions up to 4K2K@50/60Hz 4:4:4 from the transmitter over CAT 6/7. HDMI 2.0b, HDCP 2.2. Supports 3D, HDR10. 230ft / 70m for 1080p, 131ft / 40m for 4K. It has bi-directional RS-232 pass-through; audio de-embedding and the RS-232 control signal can be transmitted up to 131ft / 40m. 1x Local HDMI input that will auto-switch between the HDBaseT input and Local HDMI input. Supports POC (Receiver to Transmitter Only) Can be used with the ALF-WP70T-RS",582
Alfatron,ALF-WP70T-RS,"Alfatron Wall Mounted 2x1 switcher and HDBaseT transmitter with HDMI and USB-C inputs. US one-gang enclosure, Decora-style. Supports video resolution up to 4K2K@50/60Hz 4:4:4, 3D, HDR10. Bidirectional RS-232 pass-through, and the RS-232 control signal can be transmitted up to 230ft / 70m. Powered by ALF-TPBK70-R (Sold Separately). Supports USB-C Charging, External PSU required. INPUTS: 1 x HDMI, 1 x USB-C OUTPUT: 1 x HDBaseT RJ45, 1 x USB-C (CHARGING ONLY) CONTROL: 1 x RS232, 1 x Micro USB (Firmware Update)",724
Alfatron,ALF-WP70S-UB,"Alfatron Wall Mounted 2x1 switcher and HDBaseT transmitter, with HDMI, and USB-C inputs. US one-gang enclosure, Decora-style. Supports video resolution up to 4K@60Hz 4:4:4, 3D, HDR10.. Powered by the HDBaseT Receiver. Supports USB-C Charging, External PSU required. Transmitter: INPUTS: 1 x HDMI, 1 x USB-C OUTPUT: 1 x HDbaseT RJ45, 1 x USB-C (CHARGING ONLY) CONTROL: 1 x USB-B, 1xMicro USB (Firmware Update) Receiver: INPUTS: 1x HDMI, 1x HDBaseT, OUTPUTS: 1x HDMI Out,2x USB-USB A Type, 1x Audio Out - Phoenix Jack. Includes the Receiver",2937
Alfatron,ALF-TRUK100-RS,"Alfatron Wall Mounted 2x1 switcher and HDBaseT transmitter 100m, with HDMI, and USB-C inputs. US one-gang enclosure, Decora-style. Supports video resolution up to 4K@60Hz 4:4:4, HDCP2.2. Powered by the HDBaseT Receiver. Supports USB-C Charging Max 100W, External PSU required. Transmitter: INPUTS: 1 x HDMI with USB-B host port, 1 x USB-C; OUTPUT: 1 x HDBaseT RJ45, 1 x USB-C (CHARGING ONLY) CONTROL: 1 x USB-B (Host), 1 x Micro USB (Firmware Update) Receiver: INPUTS: 1 x HDMI, 1 x HDBaseT; OUTPUTS: 1 x HDMI, 2 x USB-USB A (device), 1x Audio Out - Phoenix Jack. Includes the Receiver",2007
Alfatron,ALF-MUK44N,"Alfatron 4x4 HDMI Matrix, All HDMI inputs and outputs support HDMI with HDR formats, including HDR 10, HLG, DOLBY VISION up to 4K@60 4:4:4, HDCP2.2, 4K-1080P downscaling for each HDMI Output, SPDIF output per output, Smart EDID management, supports 3rd party control via RS-232, IR, IP Control.",982
Alfatron,ALF-MUH44E,"Alfatron 4K@60Hz 4x4 HDBaseT Matrix Switcher  Supports HDMI 2.0 and HDCP 2.2. Transmits 4K up to 328ft(100m) and 1080p up to 492ft(150m) on the HDBaseT ports. Controllable via front panel, RS232, IR, CEC and TCP/IP. Built-in GUI for TCP/IP control. HDR,  HLG are supported. EDID Management. INPUTS: 4 x HDMI, 4x IR,  OUTPUTS: 4x HDMI, 4 x HDBaseT(POC) 4x IR OUT 1 x HDMI 4x Coaxial and balanced analogue audio outputs. Includes HDBaseT Receivers.",3487
Alfatron,ALF-MUH88E,"Alfatron 8x8  4K HDBaseT Matrix Switcher, 7 HDBaseT Receivers and accessories. HDCP 2.2, 4Kx2K @ 60Hz 4:2:0 up to 8m via HDMI port and 40m via HDBaseT port. 1080p via HDBaseT Port up to 70m. Smart EDID management, 1 SPDIF OUT, 1 L&R RCA OUT, supports 3rd party control via RS-232, IR, IP Control.",8877
Alfatron,ALF-5M-U2.0,"Alfatron USB 2.0 Cable, 5m, High-Speed Active USB 2.0 A Male to A Female Extension Cable, Supports high-speed USB 2.0 devices and the transfer rate is up to 480Mbps.",28
Alfatron,ALF-10M-U2.0,"Alfatron USB 2.0 Cable, 10m, High-Speed Active USB 2.0 A Male to A Female Extension Cable, Supports high-speed USB 2.0 devices and the transfer rate is up to 480Mbps. Includes 1m USB-A to Micro USB cable.",41
Alfatron,ALF-15M-U2.0,"Alfatron USB 2.0 Cable, 15m, High-Speed Active USB 2.0 A Male to A Female Extension Cable, Supports high-speed USB 2.0 devices and the transfer rate is up to 480Mbps. Includes 1m USB-A to Micro USB cable.",60
Alfatron,ALF-5M-U3.0,"Alfatron USB 3.0 Cable, 5m, High-Speed Active USB 3.0 A Male to A Female Extension Cable, Supports high-speed USB 3.0 devices and the transfer rate is up to 5Gbps.",76
Alfatron,ALF-10M-U3.0,"Alfatron USB 3.0 Cable, 10m, High-Speed Active USB 3.0 A Male to A Female Extension Cable, Supports high-speed USB 3.0 devices and the transfer rate is up to 5Gbps. Includes 1m USB-A to Micro USB cable.",158
Alfatron,ALF-15M-U3.0,"Alfatron USB 3.0 Cable, 15m, High-Speed Active USB 3.0 A Male to A Female Extension Cable, Supports high-speed USB 3.0 devices and the transfer rate is up to 5Gbps. Includes 1m USB-A to Micro USB cable.",185
Alfatron,ALF-USBC 1M    ,"Alfatron USB 4.0 Type-C to Type-C Full 8k@60Hz 1M Cable, 40Gbps, 240W. Transmits audio, video, data & can charge compatible USB-C devices up to 240w. Allows for quick data transfer",112
